Iterations,Accuracy (%),ATK,Aggregator,seed,f,niid
180,87.07932692307692,GA,FGC,1,8,0.1
210,87.95072115384616,GA,FGC,1,8,0.1
240,88.72195512820512,GA,FGC,1,8,0.1
270,89.74358974358974,GA,FGC,1,8,0.1
300,90.44471153846153,GA,FGC,1,8,0.1
330,90.85536858974359,GA,FGC,1,8,0.1
360,91.33613782051282,GA,FGC,1,8,0.1
390,91.58653846153847,GA,FGC,1,8,0.1
420,92.03725961538461,GA,FGC,1,8,0.1
450,92.43790064102564,GA,FGC,1,8,0.1
480,92.74839743589743,GA,FGC,1,8,0.1
510,92.98878205128206,GA,FGC,1,8,0.1
540,93.13902243589743,GA,FGC,1,8,0.1
570,93.36939102564102,GA,FGC,1,8,0.1
600,93.7099358974359,GA,FGC,1,8,0.1
630,93.99038461538461,GA,FGC,1,8,0.1
660,94.08052884615384,GA,FGC,1,8,0.1
690,94.15064102564102,GA,FGC,1,8,0.1
720,94.43108974358974,GA,FGC,1,8,0.1
750,94.52123397435898,GA,FGC,1,8,0.1
780,94.70152243589743,GA,FGC,1,8,0.1
810,94.9619391025641,GA,FGC,1,8,0.1
840,95.02203525641026,GA,FGC,1,8,0.1
870,95.15224358974359,GA,FGC,1,8,0.1
900,95.25240384615384,GA,FGC,1,8,0.1
930,95.33253205128206,GA,FGC,1,8,0.1
960,95.42267628205128,GA,FGC,1,8,0.1
990,95.49278846153847,GA,FGC,1,8,0.1
1020,95.6630608974359,GA,FGC,1,8,0.1
1050,95.8233173076923,GA,FGC,1,8,0.1
1080,95.90344551282051,GA,FGC,1,8,0.1
1110,95.98357371794872,GA,FGC,1,8,0.1
1140,96.08373397435898,GA,FGC,1,8,0.1
1170,95.98357371794872,GA,FGC,1,8,0.1
1200,96.15384615384616,GA,FGC,1,8,0.1
1230,96.23397435897436,GA,FGC,1,8,0.1
1260,96.35416666666667,GA,FGC,1,8,0.1
1290,96.33413461538461,GA,FGC,1,8,0.1
1320,96.37419871794872,GA,FGC,1,8,0.1
1350,96.43429487179488,GA,FGC,1,8,0.1
1380,96.58453525641026,GA,FGC,1,8,0.1
1410,96.57451923076923,GA,FGC,1,8,0.1
1440,96.6045673076923,GA,FGC,1,8,0.1
1470,96.66466346153847,GA,FGC,1,8,0.1
1500,96.72475961538461,GA,FGC,1,8,0.1
30,48.127003205128204,GA,FGC,1,9,0.1
60,73.14703525641026,GA,FGC,1,9,0.1
90,80.18830128205128,GA,FGC,1,9,0.1
120,83.85416666666667,GA,FGC,1,9,0.1
150,84.94591346153847,GA,FGC,1,9,0.1
180,86.52844551282051,GA,FGC,1,9,0.1
210,88.06089743589743,GA,FGC,1,9,0.1
240,88.78205128205128,GA,FGC,1,9,0.1
270,89.34294871794872,GA,FGC,1,9,0.1
300,89.91386217948718,GA,FGC,1,9,0.1
330,90.63501602564102,GA,FGC,1,9,0.1
360,90.95552884615384,GA,FGC,1,9,0.1
390,91.56650641025641,GA,FGC,1,9,0.1
420,92.12740384615384,GA,FGC,1,9,0.1
450,92.42788461538461,GA,FGC,1,9,0.1
480,92.68830128205128,GA,FGC,1,9,0.1
510,93.05889423076923,GA,FGC,1,9,0.1
540,93.2792467948718,GA,FGC,1,9,0.1
570,93.59975961538461,GA,FGC,1,9,0.1
600,93.7900641025641,GA,FGC,1,9,0.1
630,93.94030448717949,GA,FGC,1,9,0.1
660,94.17067307692308,GA,FGC,1,9,0.1
690,94.42107371794872,GA,FGC,1,9,0.1
720,94.51121794871794,GA,FGC,1,9,0.1
750,94.60136217948718,GA,FGC,1,9,0.1
780,94.76161858974359,GA,FGC,1,9,0.1
810,94.90184294871794,GA,FGC,1,9,0.1
840,94.90184294871794,GA,FGC,1,9,0.1
870,95.10216346153847,GA,FGC,1,9,0.1
900,95.22235576923077,GA,FGC,1,9,0.1
930,95.20232371794872,GA,FGC,1,9,0.1
960,95.44270833333333,GA,FGC,1,9,0.1
990,95.63301282051282,GA,FGC,1,9,0.1
1020,95.6630608974359,GA,FGC,1,9,0.1
1050,95.67307692307692,GA,FGC,1,9,0.1
1080,95.84334935897436,GA,FGC,1,9,0.1
1110,95.88341346153847,GA,FGC,1,9,0.1
1140,95.96354166666667,GA,FGC,1,9,0.1
1170,95.92347756410257,GA,FGC,1,9,0.1
1200,96.02363782051282,GA,FGC,1,9,0.1
1230,96.19391025641026,GA,FGC,1,9,0.1
1260,96.25400641025641,GA,FGC,1,9,0.1
1290,96.34415064102564,GA,FGC,1,9,0.1
1320,96.38421474358974,GA,FGC,1,9,0.1
1350,96.5645032051282,GA,FGC,1,9,0.1
1380,96.6045673076923,GA,FGC,1,9,0.1
1410,96.46434294871794,GA,FGC,1,9,0.1
1440,96.62459935897436,GA,FGC,1,9,0.1
1470,96.67467948717949,GA,FGC,1,9,0.1
1500,96.67467948717949,GA,FGC,1,9,0.1
30,52.33373397435897,GA,FGC,1,10,0.1
60,74.03846153846153,GA,FGC,1,10,0.1
90,80.36858974358974,GA,FGC,1,10,0.1
120,82.86258012820512,GA,FGC,1,10,0.1
150,85.36658653846153,GA,FGC,1,10,0.1
180,86.74879807692308,GA,FGC,1,10,0.1
210,88.64182692307692,GA,FGC,1,10,0.1
240,89.1025641025641,GA,FGC,1,10,0.1
270,89.63341346153847,GA,FGC,1,10,0.1
300,90.41466346153847,GA,FGC,1,10,0.1
330,91.07572115384616,GA,FGC,1,10,0.1
360,91.43629807692308,GA,FGC,1,10,0.1
390,91.80689102564102,GA,FGC,1,10,0.1
420,92.07732371794872,GA,FGC,1,10,0.1
450,92.58814102564102,GA,FGC,1,10,0.1
480,92.8485576923077,GA,FGC,1,10,0.1
510,93.10897435897436,GA,FGC,1,10,0.1
540,93.37940705128206,GA,FGC,1,10,0.1
570,93.78004807692308,GA,FGC,1,10,0.1
600,93.77003205128206,GA,FGC,1,10,0.1
630,93.85016025641026,GA,FGC,1,10,0.1
660,94.00040064102564,GA,FGC,1,10,0.1
690,94.30088141025641,GA,FGC,1,10,0.1
720,94.48116987179488,GA,FGC,1,10,0.1
750,94.56129807692308,GA,FGC,1,10,0.1
780,94.75160256410257,GA,FGC,1,10,0.1
810,94.94190705128206,GA,FGC,1,10,0.1
840,94.93189102564102,GA,FGC,1,10,0.1
870,95.18229166666667,GA,FGC,1,10,0.1
900,95.2724358974359,GA,FGC,1,10,0.1
930,95.4326923076923,GA,FGC,1,10,0.1
960,95.6630608974359,GA,FGC,1,10,0.1
990,95.71314102564102,GA,FGC,1,10,0.1
1020,95.703125,GA,FGC,1,10,0.1
1050,95.8233173076923,GA,FGC,1,10,0.1
1080,95.87339743589743,GA,FGC,1,10,0.1
1110,95.98357371794872,GA,FGC,1,10,0.1
1140,96.1338141025641,GA,FGC,1,10,0.1
1170,96.16386217948718,GA,FGC,1,10,0.1
1200,96.16386217948718,GA,FGC,1,10,0.1
1230,96.34415064102564,GA,FGC,1,10,0.1
1260,96.3641826923077,GA,FGC,1,10,0.1
1290,96.41426282051282,GA,FGC,1,10,0.1
1320,96.39423076923077,GA,FGC,1,10,0.1
1350,96.43429487179488,GA,FGC,1,10,0.1
1380,96.54447115384616,GA,FGC,1,10,0.1
1410,96.77483974358974,GA,FGC,1,10,0.1
1440,96.76482371794872,GA,FGC,1,10,0.1
1470,96.74479166666667,GA,FGC,1,10,0.1
1500,96.73477564102564,GA,FGC,1,10,0.1
30,50.75120192307692,GA,FGC,1,11,0.1
60,72.20552884615384,GA,FGC,1,11,0.1
90,81.88100961538461,GA,FGC,1,11,0.1
120,83.62379807692308,GA,FGC,1,11,0.1
150,86.04767628205128,GA,FGC,1,11,0.1
180,87.72035256410257,GA,FGC,1,11,0.1
210,88.45152243589743,GA,FGC,1,11,0.1
240,89.0224358974359,GA,FGC,1,11,0.1
270,89.93389423076923,GA,FGC,1,11,0.1
300,90.52483974358974,GA,FGC,1,11,0.1
330,91.17588141025641,GA,FGC,1,11,0.1
360,91.56650641025641,GA,FGC,1,11,0.1
390,91.97716346153847,GA,FGC,1,11,0.1
420,92.33774038461539,GA,FGC,1,11,0.1
450,92.6181891025641,GA,FGC,1,11,0.1
480,92.76842948717949,GA,FGC,1,11,0.1
510,93.16907051282051,GA,FGC,1,11,0.1
540,93.3994391025641,GA,FGC,1,11,0.1
570,93.56971153846153,GA,FGC,1,11,0.1
600,93.72996794871794,GA,FGC,1,11,0.1
630,93.93028846153847,GA,FGC,1,11,0.1
660,94.0604967948718,GA,FGC,1,11,0.1
690,94.34094551282051,GA,FGC,1,11,0.1
720,94.54126602564102,GA,FGC,1,11,0.1
750,94.53125,GA,FGC,1,11,0.1
780,94.5713141025641,GA,FGC,1,11,0.1
810,94.73157051282051,GA,FGC,1,11,0.1
840,94.8818108974359,GA,FGC,1,11,0.1
870,94.9619391025641,GA,FGC,1,11,0.1
900,95.01201923076923,GA,FGC,1,11,0.1
930,95.15224358974359,GA,FGC,1,11,0.1
960,95.2323717948718,GA,FGC,1,11,0.1
990,95.44270833333333,GA,FGC,1,11,0.1
1020,95.59294871794872,GA,FGC,1,11,0.1
1050,95.59294871794872,GA,FGC,1,11,0.1
1080,95.7431891025641,GA,FGC,1,11,0.1
1110,95.77323717948718,GA,FGC,1,11,0.1
1140,95.83333333333333,GA,FGC,1,11,0.1
1170,95.87339743589743,GA,FGC,1,11,0.1
1200,95.80328525641026,GA,FGC,1,11,0.1
1230,96.06370192307692,GA,FGC,1,11,0.1
1260,96.20392628205128,GA,FGC,1,11,0.1
1290,96.22395833333333,GA,FGC,1,11,0.1
1320,96.20392628205128,GA,FGC,1,11,0.1
1350,96.30408653846153,GA,FGC,1,11,0.1
1380,96.37419871794872,GA,FGC,1,11,0.1
