Iterations,Accuracy (%),Attack,Aggregator,seed,niid,s
1290,97.85657051282051,Mimic,FGC,1,0.4,0
1320,97.42588141025641,Mimic,FGC,1,0.4,0
1350,97.21554487179488,Mimic,FGC,1,0.4,0
1380,97.47596153846153,Mimic,FGC,1,0.4,0
1410,97.50600961538461,Mimic,FGC,1,0.4,0
1440,97.79647435897436,Mimic,FGC,1,0.4,0
1470,97.7363782051282,Mimic,FGC,1,0.4,0
1500,97.6963141025641,Mimic,FGC,1,0.4,0
30,55.06810897435897,Mimic,FGC,1,0.5,0
60,69.28084935897436,Mimic,FGC,1,0.5,0
90,82.13141025641026,Mimic,FGC,1,0.5,0
120,84.69551282051282,Mimic,FGC,1,0.5,0
150,87.03926282051282,Mimic,FGC,1,0.5,0
180,88.61177884615384,Mimic,FGC,1,0.5,0
210,89.59334935897436,Mimic,FGC,1,0.5,0
240,90.24439102564102,Mimic,FGC,1,0.5,0
270,91.69671474358974,Mimic,FGC,1,0.5,0
300,92.00721153846153,Mimic,FGC,1,0.5,0
330,92.40785256410257,Mimic,FGC,1,0.5,0
360,93.15905448717949,Mimic,FGC,1,0.5,0
390,93.44951923076923,Mimic,FGC,1,0.5,0
420,94.13060897435898,Mimic,FGC,1,0.5,0
450,94.44110576923077,Mimic,FGC,1,0.5,0
480,94.79166666666667,Mimic,FGC,1,0.5,0
510,95.08213141025641,Mimic,FGC,1,0.5,0
540,95.08213141025641,Mimic,FGC,1,0.5,0
570,95.29246794871794,Mimic,FGC,1,0.5,0
600,95.77323717948718,Mimic,FGC,1,0.5,0
630,95.9735576923077,Mimic,FGC,1,0.5,0
660,96.10376602564102,Mimic,FGC,1,0.5,0
690,96.20392628205128,Mimic,FGC,1,0.5,0
720,96.34415064102564,Mimic,FGC,1,0.5,0
750,95.92347756410257,Mimic,FGC,1,0.5,0
780,96.34415064102564,Mimic,FGC,1,0.5,0
810,96.51442307692308,Mimic,FGC,1,0.5,0
840,96.9150641025641,Mimic,FGC,1,0.5,0
870,96.70472756410257,Mimic,FGC,1,0.5,0
900,96.94511217948718,Mimic,FGC,1,0.5,0
930,96.97516025641026,Mimic,FGC,1,0.5,0
960,97.10536858974359,Mimic,FGC,1,0.5,0
990,97.11538461538461,Mimic,FGC,1,0.5,0
1020,97.1454326923077,Mimic,FGC,1,0.5,0
1050,97.21554487179488,Mimic,FGC,1,0.5,0
1080,97.52604166666667,Mimic,FGC,1,0.5,0
1110,97.59615384615384,Mimic,FGC,1,0.5,0
1140,97.65625,Mimic,FGC,1,0.5,0
1170,97.58613782051282,Mimic,FGC,1,0.5,0
1200,97.55608974358974,Mimic,FGC,1,0.5,0
1230,97.41586538461539,Mimic,FGC,1,0.5,0
1260,97.33573717948718,Mimic,FGC,1,0.5,0
1290,97.02524038461539,Mimic,FGC,1,0.5,0
1320,95.8233173076923,Mimic,FGC,1,0.5,0
1350,97.79647435897436,Mimic,FGC,1,0.5,0
1380,97.85657051282051,Mimic,FGC,1,0.5,0
1410,97.7764423076923,Mimic,FGC,1,0.5,0
1440,97.7764423076923,Mimic,FGC,1,0.5,0
1470,97.54607371794872,Mimic,FGC,1,0.5,0
1500,97.06530448717949,Mimic,FGC,1,0.5,0
30,57.56209935897436,Mimic,FGC,1,0.6,0
60,62.600160256410255,Mimic,FGC,1,0.6,0
90,82.01121794871794,Mimic,FGC,1,0.6,0
120,85.63701923076923,Mimic,FGC,1,0.6,0
150,86.85897435897436,Mimic,FGC,1,0.6,0
180,88.64182692307692,Mimic,FGC,1,0.6,0
210,89.23277243589743,Mimic,FGC,1,0.6,0
240,90.5048076923077,Mimic,FGC,1,0.6,0
270,91.27604166666667,Mimic,FGC,1,0.6,0
300,91.81690705128206,Mimic,FGC,1,0.6,0
330,92.76842948717949,Mimic,FGC,1,0.6,0
360,93.30929487179488,Mimic,FGC,1,0.6,0
390,93.15905448717949,Mimic,FGC,1,0.6,0
420,93.86017628205128,Mimic,FGC,1,0.6,0
450,94.38100961538461,Mimic,FGC,1,0.6,0
480,94.62139423076923,Mimic,FGC,1,0.6,0
510,94.81169871794872,Mimic,FGC,1,0.6,0
540,95.12219551282051,Mimic,FGC,1,0.6,0
570,95.3926282051282,Mimic,FGC,1,0.6,0
600,95.59294871794872,Mimic,FGC,1,0.6,0
630,95.81330128205128,Mimic,FGC,1,0.6,0
660,96.15384615384616,Mimic,FGC,1,0.6,0
690,96.3641826923077,Mimic,FGC,1,0.6,0
720,96.64463141025641,Mimic,FGC,1,0.6,0
750,96.5244391025641,Mimic,FGC,1,0.6,0
780,96.484375,Mimic,FGC,1,0.6,0
810,96.66466346153847,Mimic,FGC,1,0.6,0
840,97.00520833333333,Mimic,FGC,1,0.6,0
870,96.94511217948718,Mimic,FGC,1,0.6,0
900,97.05528846153847,Mimic,FGC,1,0.6,0
930,96.93509615384616,Mimic,FGC,1,0.6,0
960,96.08373397435898,Mimic,FGC,1,0.6,0
990,95.0020032051282,Mimic,FGC,1,0.6,0
1020,97.21554487179488,Mimic,FGC,1,0.6,0
1050,96.89503205128206,Mimic,FGC,1,0.6,0
1080,96.11378205128206,Mimic,FGC,1,0.6,0
1110,96.96514423076923,Mimic,FGC,1,0.6,0
1140,97.02524038461539,Mimic,FGC,1,0.6,0
1170,96.71474358974359,Mimic,FGC,1,0.6,0
1200,97.1854967948718,Mimic,FGC,1,0.6,0
1230,97.46594551282051,Mimic,FGC,1,0.6,0
1260,97.16546474358974,Mimic,FGC,1,0.6,0
1290,97.37580128205128,Mimic,FGC,1,0.6,0
1320,97.35576923076923,Mimic,FGC,1,0.6,0
1350,97.60616987179488,Mimic,FGC,1,0.6,0
1380,97.41586538461539,Mimic,FGC,1,0.6,0
1410,97.2255608974359,Mimic,FGC,1,0.6,0
1440,97.59615384615384,Mimic,FGC,1,0.6,0
1470,97.51602564102564,Mimic,FGC,1,0.6,0
1500,97.32572115384616,Mimic,FGC,1,0.6,0
30,64.69350961538461,ALIE,FGC,1,0.4,0
60,79.45713141025641,ALIE,FGC,1,0.4,0
90,84.77564102564102,ALIE,FGC,1,0.4,0
120,86.60857371794872,ALIE,FGC,1,0.4,0
150,88.7119391025641,ALIE,FGC,1,0.4,0
180,89.1426282051282,ALIE,FGC,1,0.4,0
210,91.08573717948718,ALIE,FGC,1,0.4,0
240,91.49639423076923,ALIE,FGC,1,0.4,0
270,92.50801282051282,ALIE,FGC,1,0.4,0
300,92.89863782051282,ALIE,FGC,1,0.4,0
330,93.05889423076923,ALIE,FGC,1,0.4,0
360,93.4395032051282,ALIE,FGC,1,0.4,0
390,93.46955128205128,ALIE,FGC,1,0.4,0
420,94.15064102564102,ALIE,FGC,1,0.4,0
450,94.39102564102564,ALIE,FGC,1,0.4,0
480,94.46113782051282,ALIE,FGC,1,0.4,0
510,94.921875,ALIE,FGC,1,0.4,0
540,95.12219551282051,ALIE,FGC,1,0.4,0
570,95.34254807692308,ALIE,FGC,1,0.4,0
600,95.41266025641026,ALIE,FGC,1,0.4,0
630,95.6229967948718,ALIE,FGC,1,0.4,0
660,95.63301282051282,ALIE,FGC,1,0.4,0
690,95.80328525641026,ALIE,FGC,1,0.4,0
720,95.53285256410257,ALIE,FGC,1,0.4,0
750,96.00360576923077,ALIE,FGC,1,0.4,0
780,96.10376602564102,ALIE,FGC,1,0.4,0
810,95.87339743589743,ALIE,FGC,1,0.4,0
840,96.0136217948718,ALIE,FGC,1,0.4,0
870,96.1338141025641,ALIE,FGC,1,0.4,0
900,96.484375,ALIE,FGC,1,0.4,0
930,96.3641826923077,ALIE,FGC,1,0.4,0
960,96.63461538461539,ALIE,FGC,1,0.4,0
990,96.59455128205128,ALIE,FGC,1,0.4,0
1020,96.64463141025641,ALIE,FGC,1,0.4,0
1050,96.78485576923077,ALIE,FGC,1,0.4,0
1080,96.72475961538461,ALIE,FGC,1,0.4,0
1110,96.875,ALIE,FGC,1,0.4,0
1140,97.02524038461539,ALIE,FGC,1,0.4,0
1170,97.06530448717949,ALIE,FGC,1,0.4,0
1200,97.00520833333333,ALIE,FGC,1,0.4,0
1230,97.08533653846153,ALIE,FGC,1,0.4,0
1260,97.2255608974359,ALIE,FGC,1,0.4,0
1290,97.23557692307692,ALIE,FGC,1,0.4,0
1320,97.15544871794872,ALIE,FGC,1,0.4,0
1350,97.20552884615384,ALIE,FGC,1,0.4,0
1380,97.42588141025641,ALIE,FGC,1,0.4,0
1410,97.33573717948718,ALIE,FGC,1,0.4,0
1440,97.47596153846153,ALIE,FGC,1,0.4,0
1470,97.62620192307692,ALIE,FGC,1,0.4,0
1500,97.65625,ALIE,FGC,1,0.4,0
30,66.98717948717949,ALIE,FGC,1,0.5,0
60,79.59735576923077,ALIE,FGC,1,0.5,0
90,84.47516025641026,ALIE,FGC,1,0.5,0
120,86.8389423076923,ALIE,FGC,1,0.5,0
150,88.26121794871794,ALIE,FGC,1,0.5,0
180,89.69350961538461,ALIE,FGC,1,0.5,0
210,90.3145032051282,ALIE,FGC,1,0.5,0
