Iterations,Accuracy (%),ATK,$|\mathcal{B}|$,seed
870,94.60136217948718,LF,5,1
900,94.71153846153847,LF,5,1
930,94.89182692307692,LF,5,1
960,94.93189102564102,LF,5,1
990,95.09214743589743,LF,5,1
1020,95.1923076923077,LF,5,1
1050,95.40264423076923,LF,5,1
1080,95.37259615384616,LF,5,1
1110,95.64302884615384,LF,5,1
1140,95.703125,LF,5,1
1170,95.95352564102564,LF,5,1
1200,95.92347756410257,LF,5,1
1230,95.8233173076923,LF,5,1
1260,96.19391025641026,LF,5,1
1290,96.31410256410257,LF,5,1
1320,96.18389423076923,LF,5,1
1350,96.33413461538461,LF,5,1
1380,96.41426282051282,LF,5,1
1410,96.3641826923077,LF,5,1
1440,96.5244391025641,LF,5,1
1470,96.59455128205128,LF,5,1
1500,96.62459935897436,LF,5,1
30,48.60777243589744,LF,6,1
60,67.96875,LF,6,1
90,77.35376602564102,LF,6,1
120,82.72235576923077,LF,6,1
150,85.09615384615384,LF,6,1
180,87.08934294871794,LF,6,1
210,87.91065705128206,LF,6,1
240,88.87219551282051,LF,6,1
270,89.83373397435898,LF,6,1
300,90.3545673076923,LF,6,1
330,90.84535256410257,LF,6,1
360,91.21594551282051,LF,6,1
390,91.62660256410257,LF,6,1
420,91.88701923076923,LF,6,1
450,92.25761217948718,LF,6,1
480,92.71834935897436,LF,6,1
510,92.91866987179488,LF,6,1
540,93.25921474358974,LF,6,1
570,93.6298076923077,LF,6,1
600,93.6698717948718,LF,6,1
630,93.96033653846153,LF,6,1
660,94.0604967948718,LF,6,1
690,94.13060897435898,LF,6,1
720,94.4911858974359,LF,6,1
750,94.67147435897436,LF,6,1
780,94.62139423076923,LF,6,1
810,94.8818108974359,LF,6,1
840,94.9619391025641,LF,6,1
870,95.17227564102564,LF,6,1
900,95.24238782051282,LF,6,1
930,95.29246794871794,LF,6,1
960,95.40264423076923,LF,6,1
990,95.47275641025641,LF,6,1
1020,95.51282051282051,LF,6,1
1050,95.79326923076923,LF,6,1
1080,95.75320512820512,LF,6,1
1110,95.89342948717949,LF,6,1
